buy,sell,total_ret,cagr,max_dd,sharpe
1.02,0.73,23665.73,23.43,-85.26,0.59
1.11,0.8,23640.84,23.42,-78.8,0.59
1.02,0.72,23466.73,23.39,-85.26,0.59
1.14,0.83,22777.35,23.25,-75.5,0.59
1.04,0.88,22655.09,23.22,-73.75,0.6
1.07,0.78,22463.67,23.18,-81.79,0.59
1.08,0.78,22463.67,23.18,-81.79,0.59
1.08,0.79,22463.67,23.18,-81.79,0.59
1.07,0.79,22463.67,23.18,-81.79,0.59
1.0,0.82,22302.43,23.15,-78.19,0.59
1.05,0.85,22232.31,23.13,-75.92,0.59
1.13,0.82,22171.05,23.12,-77.75,0.59
1.12,0.82,22171.05,23.12,-77.75,0.59
1.16,0.83,22096.24,23.1,-75.5,0.59
1.15,0.83,22096.24,23.1,-75.5,0.59
1.11,0.76,22078.89,23.1,-84.72,0.58
1.11,0.75,22078.89,23.1,-84.72,0.58
1.11,0.73,22078.89,23.1,-84.72,0.58
1.11,0.72,22078.89,23.1,-84.72,0.58
1.11,0.74,22078.89,23.1,-84.72,0.58
1.02,0.85,22049.72,23.09,-74.14,0.59
1.01,0.77,21751.98,23.03,-81.6,0.58
1.1,0.71,21707.39,23.02,-86.62,0.58
1.04,0.87,21373.81,22.95,-73.75,0.59
1.07,0.77,21270.96,22.93,-81.79,0.58
1.08,0.77,21270.96,22.93,-81.79,0.58
1.17,0.83,21174.5,22.9,-75.5,0.58
1.09,0.78,21135.97,22.9,-81.79,0.58
1.09,0.79,21135.97,22.9,-81.79,0.58
1.02,0.88,21045.46,22.88,-71.82,0.59
1.0,0.81,21010.55,22.87,-78.19,0.58
1.12,0.81,20886.74,22.84,-77.75,0.58
1.13,0.81,20886.74,22.84,-77.75,0.58
1.06,0.84,20845.08,22.83,-76.37,0.58
1.02,0.71,20815.57,22.82,-86.78,0.58
1.03,0.86,20770.62,22.81,-72.33,0.59
1.14,0.82,20672.52,22.79,-77.75,0.58
1.19,0.76,20084.32,22.66,-81.66,0.58
1.19,0.74,20084.32,22.66,-81.66,0.58
1.19,0.72,20084.32,22.66,-81.66,0.58
1.19,0.73,20084.32,22.66,-81.66,0.58
1.19,0.75,20084.32,22.66,-81.66,0.58
1.16,0.82,20054.08,22.65,-77.75,0.58
1.15,0.82,20054.08,22.65,-77.75,0.58
1.09,0.77,20013.44,22.64,-81.79,0.58
1.11,0.71,19794.83,22.59,-86.29,0.58
1.12,0.8,19745.33,22.58,-78.79,0.58
1.13,0.8,19745.33,22.58,-78.79,0.58
1.14,0.81,19474.63,22.51,-77.75,0.58
1.01,0.76,19423.71,22.5,-85.11,0.57
1.19,0.71,19245.63,22.46,-81.66,0.58
1.17,0.82,19217.13,22.45,-77.75,0.58
1.01,0.75,19096.96,22.42,-85.11,0.57
1.01,0.74,19096.96,22.42,-85.11,0.57
1.02,0.87,18992.88,22.39,-71.82,0.58
1.05,0.88,18992.71,22.39,-73.75,0.58
1.01,0.73,18904.69,22.37,-85.11,0.57
1.16,0.81,18891.85,22.37,-77.75,0.58
1.15,0.81,18891.85,22.37,-77.75,0.58
1.03,0.89,18878.52,22.37,-69.64,0.58
1.1,0.79,18642.95,22.31,-81.58,0.57
1.1,0.78,18642.95,22.31,-81.58,0.57
1.01,0.72,18587.98,22.29,-85.11,0.57
1.14,0.75,18439.67,22.26,-84.71,0.57
