buy,sell,total_ret,cagr,max_dd,sharpe
1.11,0.73,5429.88,16.69,-69.6,0.49
1.11,0.72,5429.88,16.69,-69.6,0.49
1.11,0.76,5429.88,16.69,-69.6,0.49
1.11,0.75,5429.88,16.69,-69.6,0.49
1.12,0.83,5421.13,16.69,-61.67,0.49
1.13,0.83,5421.13,16.69,-61.67,0.49
1.11,0.8,5404.76,16.67,-63.96,0.49
1.03,0.88,5393.01,16.66,-60.44,0.5
1.1,0.71,5275.35,16.57,-71.4,0.49
1.0,0.81,5212.07,16.51,-73.13,0.49
1.07,0.79,5202.9,16.51,-66.79,0.49
1.08,0.79,5202.9,16.51,-66.79,0.49
1.08,0.78,5202.9,16.51,-66.79,0.49
1.07,0.78,5202.9,16.51,-66.79,0.49
1.13,0.82,5165.28,16.48,-62.48,0.49
1.12,0.82,5165.28,16.48,-62.48,0.49
1.03,0.87,5153.65,16.47,-60.19,0.49
1.14,0.83,5137.54,16.45,-61.67,0.49
1.01,0.77,5066.8,16.39,-67.86,0.49
1.15,0.83,5017.36,16.35,-61.6,0.49
1.16,0.83,5017.36,16.35,-61.6,0.49
1.02,0.71,5009.05,16.34,-70.71,0.48
1.08,0.77,5004.53,16.34,-67.92,0.48
1.07,0.77,5004.53,16.34,-67.92,0.48
1.09,0.78,4965.02,16.3,-66.75,0.48
1.09,0.79,4965.02,16.3,-66.75,0.48
1.05,0.85,4950.41,16.29,-63.76,0.49
1.13,0.81,4941.64,16.28,-62.48,0.49
1.12,0.81,4941.64,16.28,-62.48,0.49
1.02,0.85,4916.24,16.26,-60.72,0.49
1.11,0.71,4914.37,16.26,-71.25,0.48
1.14,0.82,4898.25,16.24,-62.48,0.49
1.01,0.76,4886.14,16.23,-69.18,0.48
1.04,0.88,4879.89,16.23,-61.64,0.49
1.17,0.83,4853.26,16.2,-61.5,0.48
1.01,0.74,4809.15,16.16,-69.14,0.48
1.01,0.75,4809.15,16.16,-69.14,0.48
1.15,0.82,4784.94,16.14,-62.4,0.48
1.16,0.82,4784.94,16.14,-62.4,0.48
1.06,0.84,4781.38,16.14,-62.13,0.48
1.09,0.77,4776.88,16.13,-67.69,0.48
1.19,0.75,4764.93,16.12,-69.57,0.48
1.19,0.72,4764.93,16.12,-69.57,0.48
1.19,0.74,4764.93,16.12,-69.57,0.48
1.19,0.76,4764.93,16.12,-69.57,0.48
1.19,0.73,4764.93,16.12,-69.57,0.48
1.01,0.73,4764.3,16.12,-69.11,0.48
1.12,0.75,4733.1,16.09,-68.95,0.48
1.12,0.76,4733.1,16.09,-68.95,0.48
1.12,0.74,4733.1,16.09,-68.95,0.48
1.12,0.73,4733.1,16.09,-68.95,0.48
1.13,0.75,4733.1,16.09,-68.95,0.48
1.13,0.76,4733.1,16.09,-68.95,0.48
1.14,0.76,4733.1,16.09,-68.95,0.48
1.14,0.73,4733.1,16.09,-68.95,0.48
1.14,0.72,4733.1,16.09,-68.95,0.48
1.14,0.74,4733.1,16.09,-68.95,0.48
1.14,0.75,4733.1,16.09,-68.95,0.48
1.13,0.72,4733.1,16.09,-68.95,0.48
1.13,0.74,4733.1,16.09,-68.95,0.48
1.13,0.73,4733.1,16.09,-68.95,0.48
1.12,0.72,4733.1,16.09,-68.95,0.48
1.13,0.8,4703.56,16.06,-63.69,0.48
1.12,0.8,4703.56,16.06,-63.69,0.48
1.01,0.72,4689.75,16.05,-69.06,0.48
1.14,0.81,4687.6,16.05,-62.48,0.48
1.0,0.8,4669.87,16.03,-74.02,0.48
1.04,0.87,4665.71,16.03,-61.39,0.48
1.17,0.82,4630.16,16.0,-62.29,0.48
1.15,0.74,4625.22,15.99,-68.84,0.48
1.15,0.76,4625.22,15.99,-68.84,0.48
1.15,0.73,4625.22,15.99,-68.84,0.48
1.15,0.72,4625.22,15.99,-68.84,0.48
1.16,0.76,4625.22,15.99,-68.84,0.48
1.16,0.75,4625.22,15.99,-68.84,0.48
1.16,0.74,4625.22,15.99,-68.84,0.48
1.15,0.75,4625.22,15.99,-68.84,0.48
1.16,0.72,4625.22,15.99,-68.84,0.48
1.16,0.73,4625.22,15.99,-68.84,0.48
1.02,0.88,4616.04,15.98,-58.67,0.48
1.03,0.86,4597.77,15.97,-59.9,0.48
1.15,0.81,4579.75,15.95,-62.4,0.48
1.16,0.81,4579.75,15.95,-62.4,0.48
1.19,0.71,4559.11,15.93,-69.46,0.48
1.1,0.79,4506.55,15.88,-66.57,0.47
1.1,0.78,4506.55,15.88,-66.57,0.47
1.17,0.76,4477.75,15.85,-68.68,0.47
1.17,0.73,4477.75,15.85,-68.68,0.47
1.17,0.72,4477.75,15.85,-68.68,0.47
1.17,0.75,4477.75,15.85,-68.68,0.47
1.17,0.74,4477.75,15.85,-68.68,0.47
1.14,0.8,4462.83,15.84,-63.69,0.48
1.17,0.81,4432.42,15.81,-62.29,0.48
1.15,0.8,4360.63,15.73,-63.61,0.47
1.16,0.8,4360.63,15.73,-63.61,0.47
1.1,0.77,4338.0,15.71,-67.2,0.47
1.12,0.71,4288.64,15.66,-70.86,0.47
1.14,0.71,4288.64,15.66,-70.86,0.47
1.13,0.71,4288.64,15.66,-70.86,0.47
1.02,0.87,4262.31,15.63,-59.58,0.47
1.03,0.89,4252.88,15.63,-57.44,0.48
1.05,0.88,4246.6,15.62,-61.64,0.47
1.17,0.8,4221.02,15.59,-63.49,0.47
1.11,0.78,4201.19,15.57,-66.44,0.47
1.11,0.79,4201.19,15.57,-66.44,0.47
1.16,0.71,4191.75,15.56,-70.74,0.47
1.15,0.71,4191.75,15.56,-70.74,0.47
